country,state,city,station,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI,AQI_Category
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-02-26 19:00:00,17.0,3.0,27.0,28.0,91.0,34.0,21.0,56,Satisfactory
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2026-02-26 19:00:00,52.0,5.0,20.0,24.0,71.0,76.0,17.0,152,Moderate
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2026-02-26 19:00:00,21.0,4.0,20.0,44.0,56.0,60.0,13.0,100,Satisfactory
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-02-26 19:00:00,36.0,3.0,22.0,14.0,81.0,80.0,12.0,166,Moderate
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-02-26 19:00:00,28.0,4.0,30.0,24.0,57.0,45.0,9.0,75,Satisfactory
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2026-02-26 19:00:00,23.0,1.0,29.0,46.0,64.0,65.0,8.0,115,Moderate
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-02-26 19:00:00,22.0,6.0,34.0,36.0,66.0,72.0,15.0,139,Moderate
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-02-26 19:00:00,28.0,5.0,19.0,23.0,51.0,55.0,15.0,92,Satisfactory
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",2026-02-26 19:00:00,36.0,5.0,23.0,41.0,44.0,48.0,18.0,80,Satisfactory
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2026-02-26 19:00:00,40.0,5.0,28.0,29.0,61.0,67.0,15.0,121,Moderate
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-02-26 19:00:00,32.0,4.0,21.0,27.0,63.0,70.0,16.0,132,Moderate
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-02-26 19:00:00,23.0,4.0,82.0,49.0,202.0,98.0,21.0,225,Poor
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2026-02-26 19:00:00,21.0,1.0,7.0,6.0,170.0,188.0,10.0,352,Very Poor
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-02-26 19:00:00,60.0,4.0,7.0,38.0,111.0,188.0,31.0,352,Very Poor
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-02-26 19:00:00,30.0,5.0,15.0,13.0,96.0,76.0,11.0,152,Moderate
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-02-26 19:00:00,18.0,4.0,1.0,9.0,107.0,122.0,10.0,302,Very Poor
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2026-02-26 19:00:00,21.0,6.0,14.0,15.0,114.0,150.0,8.0,323,Very Poor
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2026-02-26 19:00:00,39.0,2.0,29.0,7.0,66.0,65.0,6.0,115,Moderate
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-02-26 19:00:00,11.0,8.0,44.0,51.0,52.0,45.0,9.0,75,Satisfactory
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2026-02-26 19:00:00,54.0,4.0,3.0,10.0,70.0,82.0,37.0,173,Moderate
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2026-02-26 19:00:00,102.0,2.0,8.0,59.0,87.0,38.0,10.0,63,Satisfactory
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2026-02-26 19:00:00,27.0,5.0,14.0,32.0,77.0,75.0,24.0,149,Moderate
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2026-02-26 19:00:00,113.0,1.0,8.0,22.0,68.0,74.0,7.0,145,Moderate
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-02-26 19:00:00,18.0,1.0,9.0,16.0,76.0,66.0,53.0,118,Moderate
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2026-02-26 19:00:00,87.0,7.0,7.0,24.0,77.0,19.0,57.0,32,Good
